record_id,document_id,doi,table_id,pdf_page,category,parameter_raw,symbol,component,raw_value,raw_unit,normalized_value,normalized_unit,value_role,candidate_pybamm_parameter_name,mapping_status,expected_pybamm_relation,verification_status,notes
chen2020_table_vii_001,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Current collector thickness,,positive_current_collector,16e-6,m,1.6e-05,m,design_specification,Positive current collector thickness [m],exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_002,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Current collector thickness,,negative_current_collector,12e-6,m,1.2e-05,m,design_specification,Negative current collector thickness [m],exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_003,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Electrode thickness,L_p,positive_electrode,75.6e-6,m,7.56e-05,m,design_specification,Positive electrode thickness [m],exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_004,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Electrode thickness,L_s,separator,12e-6,m,1.2e-05,m,design_specification,Separator thickness [m],exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_005,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Electrode thickness,L_n,negative_electrode,85.2e-6,m,8.52e-05,m,design_specification,Negative electrode thickness [m],exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_006,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Electrode length,,cell,1.58,m,1.58,m,design_specification,Electrode width [m],candidate_geometry_mapping,geometry_name_translation,visually_verified,"The paper calls this dimension electrode length, while the Chen2020 PyBaMM registry stores the value 1.58 as electrode width."
chen2020_table_vii_007,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Electrode width,,cell,6.5e-2,m,0.065,m,design_specification,Electrode height [m],candidate_geometry_mapping,geometry_name_translation,visually_verified,"The paper calls this dimension electrode width, while the Chen2020 PyBaMM registry stores the value 0.065 as electrode height."
chen2020_table_vii_008,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Mean particle radius,R_p,positive_electrode,5.22e-6,m,5.22e-06,m,experimentally_determined,Positive particle radius [m],exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_009,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Mean particle radius,R_n,negative_electrode,5.86e-6,m,5.86e-06,m,experimentally_determined,Negative particle radius [m],exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_010,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Electrolyte volume fraction,epsilon_p,positive_electrode,33.5,%,0.335,fraction,experimentally_determined,Positive electrode porosity,exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_011,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Electrolyte volume fraction,epsilon_s,separator,47,%,0.47,fraction,experimentally_determined,Separator porosity,exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_012,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Electrolyte volume fraction,epsilon_n,negative_electrode,25,%,0.25,fraction,experimentally_determined,Negative electrode porosity,exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_013,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Active material volume fraction,epsilon_act_p,positive_electrode,66.5,%,0.665,fraction,experimentally_determined,Positive electrode active material volume fraction,exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_014,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Active material volume fraction,epsilon_act_n,negative_electrode,75,%,0.75,fraction,experimentally_determined,Negative electrode active material volume fraction,exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_015,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Bruggeman exponent,b_p,positive_electrode,2.43,dimensionless,2.43,dimensionless,experimentally_determined,Positive electrode Bruggeman coefficient (electrolyte),tuned_in_table_ix,expected_difference_table_ix_tuning,visually_verified,
chen2020_table_vii_016,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Bruggeman exponent,b_s,separator,2.57,dimensionless,2.57,dimensionless,experimentally_determined,Separator Bruggeman coefficient (electrolyte),tuned_in_table_ix,expected_difference_table_ix_tuning,visually_verified,
chen2020_table_vii_017,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,design_specifications,Bruggeman exponent,b_n,negative_electrode,2.91,dimensionless,2.91,dimensionless,experimentally_determined,Negative electrode Bruggeman coefficient (electrolyte),tuned_in_table_ix,expected_difference_table_ix_tuning,visually_verified,
chen2020_table_vii_018,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrode,Solid phase lithium diffusivity,D_s_p,positive_electrode,1.48e-15,m2.s-1,1.48e-15,m2.s-1,experimentally_determined,Positive particle diffusivity [m2.s-1],tuned_in_table_ix,expected_difference_table_ix_tuning,visually_verified,
chen2020_table_vii_019,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrode,Solid phase lithium diffusivity,D_s_n,negative_electrode,1.74e-15,m2.s-1,1.74e-15,m2.s-1,experimentally_determined,Negative particle diffusivity [m2.s-1],tuned_in_table_ix,expected_difference_table_ix_tuning,visually_verified,
chen2020_table_vii_020,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrode,Solid phase electronic conductivity,sigma_s_p,positive_electrode,0.18,S.m-1,0.18,S.m-1,experimentally_determined,Positive electrode conductivity [S.m-1],exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_021,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrode,Solid phase electronic conductivity,sigma_s_n,negative_electrode,215,S.m-1,215.0,S.m-1,experimentally_determined,Negative electrode conductivity [S.m-1],exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_022,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrode,Maximum concentration,c_s_p_max,positive_electrode,51765,mol.m-3,51765.0,mol.m-3,experimentally_determined,Maximum concentration in positive electrode [mol.m-3],tuned_in_table_ix,expected_difference_table_ix_tuning,visually_verified,
chen2020_table_vii_023,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrode,Maximum concentration,c_s_n_max,negative_electrode,29583,mol.m-3,29583.0,mol.m-3,experimentally_determined,Maximum concentration in negative electrode [mol.m-3],tuned_in_table_ix,expected_difference_table_ix_tuning,visually_verified,
chen2020_table_vii_024,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrode,Stoichiometry at 0% SOC,,positive_electrode,0.9084,dimensionless,0.9084,dimensionless,experimentally_determined,,requires_conversion,not_directly_comparable,visually_verified,
chen2020_table_vii_025,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrode,Stoichiometry at 0% SOC,,negative_electrode,0.0279,dimensionless,0.0279,dimensionless,experimentally_determined,,requires_conversion,not_directly_comparable,visually_verified,
chen2020_table_vii_026,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrode,Stoichiometry at 100% SOC,,positive_electrode,0.2661,dimensionless,0.2661,dimensionless,experimentally_determined,,tuned_in_table_ix,not_directly_comparable,visually_verified,
chen2020_table_vii_027,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrode,Stoichiometry at 100% SOC,,negative_electrode,0.9014,dimensionless,0.9014,dimensionless,experimentally_determined,,requires_conversion,not_directly_comparable,visually_verified,
chen2020_table_vii_028,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrolyte,Transference number,t_plus,electrolyte,0.2594,dimensionless,0.2594,dimensionless,experimentally_determined,Cation transference number,exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_029,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,electrolyte,Initial electrolyte concentration,c_e_0,electrolyte,1000,mol.m-3,1000.0,mol.m-3,design_specification,Initial concentration in electrolyte [mol.m-3],exact_name_candidate,expected_exact_match,visually_verified,
chen2020_table_vii_030,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,reaction,Activation energy,,positive_electrode,17.8e3,J.mol-1,17800.0,J.mol-1,experimentally_determined,,embedded_in_function,not_directly_comparable,visually_verified,Used inside a temperature-dependent kinetic expression.
chen2020_table_vii_031,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,reaction,Activation energy,,negative_electrode,35.0e3,J.mol-1,35000.0,J.mol-1,experimentally_determined,,embedded_in_function,not_directly_comparable,visually_verified,Used inside a temperature-dependent kinetic expression.
chen2020_table_vii_032,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,reaction,Reaction rate,m_p,positive_electrode,3.42e-6,A.m-2.(m3.mol-1)^1.5,3.42e-06,A.m-2.(m3.mol-1)^1.5,experimentally_determined,,embedded_in_function,not_directly_comparable,visually_verified,Used inside the positive exchange-current density function.
chen2020_table_vii_033,chen2020_parameterization,10.1149/1945-7111/ab9050,Table VII,19,reaction,Reaction rate,m_n,negative_electrode,6.48e-7,A.m-2.(m3.mol-1)^1.5,6.48e-07,A.m-2.(m3.mol-1)^1.5,experimentally_determined,,embedded_in_function,not_directly_comparable,visually_verified,Used inside the negative exchange-current density function.
