parameter_name,unit,value_type,numeric_value,text_value,parameter_set_name,pybamm_version,candidate_source_doi,paper_verification_status,paper_page,paper_table,paper_raw_name,paper_raw_value,paper_raw_unit,verification_notes
Ambient temperature [K],K,scalar,298.15,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Bulk solvent concentration [mol.m-3],mol.m-3,scalar,2636.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Cation transference number,,scalar,0.2594,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Cell cooling surface area [m2],m2,scalar,0.00531,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Cell thermal expansion coefficient [m.K-1],m.K-1,scalar,1.1e-06,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Cell volume [m3],m3,scalar,2.42e-05,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Contact resistance [Ohm],Ohm,scalar,0.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Current function [A],A,scalar,5.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
EC diffusivity [m2.s-1],m2.s-1,scalar,2e-18,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
EC initial concentration in electrolyte [mol.m-3],mol.m-3,scalar,4541.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Electrode height [m],m,scalar,0.065,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Electrode width [m],m,scalar,1.58,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Electrolyte conductivity [S.m-1],S.m-1,function,,pybamm.input.parameters.lithium_ion.Chen2020.electrolyte_conductivity_Nyman2008,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Electrolyte diffusivity [m2.s-1],m2.s-1,function,,pybamm.input.parameters.lithium_ion.Chen2020.electrolyte_diffusivity_Nyman2008,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Initial SEI thickness [m],m,scalar,5e-09,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Initial concentration in electrolyte [mol.m-3],mol.m-3,scalar,1000.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Initial concentration in negative electrode [mol.m-3],mol.m-3,scalar,29866.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Initial concentration in positive electrode [mol.m-3],mol.m-3,scalar,17038.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Initial temperature [K],K,scalar,298.15,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Lithium interstitial reference concentration [mol.m-3],mol.m-3,scalar,15.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Lower voltage cut-off [V],V,scalar,2.5,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Maximum concentration in negative electrode [mol.m-3],mol.m-3,scalar,33133.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Maximum concentration in positive electrode [mol.m-3],mol.m-3,scalar,63104.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative current collector conductivity [S.m-1],S.m-1,scalar,58411000.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative current collector density [kg.m-3],kg.m-3,scalar,8960.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative current collector specific heat capacity [J.kg-1.K-1],J.kg-1.K-1,scalar,385.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative current collector thermal conductivity [W.m-1.K-1],W.m-1.K-1,scalar,401.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative current collector thickness [m],m,scalar,1.2e-05,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode Bruggeman coefficient (electrode),,scalar,0.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode Bruggeman coefficient (electrolyte),,scalar,1.5,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode OCP [V],V,function,,pybamm.input.parameters.lithium_ion.Chen2020.graphite_LGM50_ocp_Chen2020,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode OCP entropic change [V.K-1],V.K-1,scalar,0.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode active material volume fraction,,scalar,0.75,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode charge transfer coefficient,,scalar,0.5,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode conductivity [S.m-1],S.m-1,scalar,215.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode density [kg.m-3],kg.m-3,scalar,1657.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode double-layer capacity [F.m-2],F.m-2,scalar,0.2,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode exchange-current density [A.m-2],A.m-2,function,,pybamm.input.parameters.lithium_ion.Chen2020.graphite_LGM50_electrolyte_exchange_current_density_Chen2020,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode porosity,,scalar,0.25,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode reaction-driven LAM factor [m3.mol-1],m3.mol-1,scalar,0.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Negative electrode specific heat capacity [J.kg-1.K-1],J.kg-1.K-1,scalar,700.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
